nhits,uid,chi,eta,j1A0,j2A0,j3A0,j4A0,kappa,muDc,muK,multiplier,omegaS0,pBdmild,pBdmoderate,pBdover,pBpmild,pBpmoderate,pBpover,pBtmild,pBtmoderate,pBtover,pR,pT,rho,sageA15,sigma,theta,zeta
15,bd3c2935da75946a0c7b99348df936da,0.147532386,0.679672186,0.40187423,0.186063772,0.624200835,0.377108435,0.068370044,0.16392156,0.007585036,0.634430257,0.040729327,0.482754509,2.307560679,0.574633332,1.356709265,1.868334406,0.247505989,1.441924306,2.253542622,1.462945048,0.827325508,0.000635782,0.016914904,0.863191947,0.000297503,0.100171107,0.731643231
15,4634814b1411d00b0c1c4b7e3d6fb30c,0.155583238,0.559517643,0.441733683,0.115912977,0.618757396,0.395361323,0.085236659,0.155613326,0.00797362,0.620714018,0.041819462,0.498835044,2.12519493,0.951055318,1.331548595,1.858378993,0.258586281,1.32763549,2.260032347,1.349050802,0.828808522,0.000647194,0.018091154,0.785798417,0.000232922,0.100025901,0.982226718
15,41e61fd0d08f1d3dbe7e503d0150d415,0.144350741,0.643334442,0.406374732,0.203543822,0.599042956,0.405801698,0.070714355,0.15850162,0.007536799,0.647507475,0.041524682,0.420830258,2.329743832,0.601874556,1.352148086,1.861520801,0.244742453,1.429699689,2.271696466,1.442019395,0.830191584,0.000674464,0.015087251,0.843757268,0.000316654,0.099547895,0.880317577
15,1f45ec77346c286324a083dd36c4c4c9,0.150310921,0.610003152,0.293908885,0.082946153,0.599070446,0.390747068,0.075938186,0.135738638,0.007789325,0.793739755,0.04060381,0.52324189,2.634898349,0.655260366,1.342948682,1.848798921,0.246422701,1.357328633,2.210635924,1.355841238,0.833919919,0.000671711,0.014045904,0.959197309,0.000313575,0.103321409,0.848006864
15,e6d3f450fd755a03f808c7d098c391ba,0.144927043,0.649613654,0.410634315,0.189204141,0.605061528,0.395901323,0.07082395,0.158388939,0.007711376,0.652734662,0.041376082,0.422041633,2.330671886,0.614689245,1.354003746,1.86156254,0.246131812,1.435605437,2.275974067,1.442512774,0.828975812,0.000678712,0.015505541,0.853303033,0.000307288,0.099427373,0.926506394
15,3f77f0e7b1eef4fc5d8d21ff3ee47296,0.145082397,0.568501406,0.455798277,0.290713866,0.654248191,0.39761781,0.073237504,0.147151243,0.009130997,0.490160398,0.043385853,0.606191543,2.078171599,0.885593858,1.327255272,1.861756225,0.25836264,1.418397087,2.308668953,1.412154294,0.826052942,0.000559506,0.019612512,0.793850002,0.000256375,0.102586996,0.774283612
15,1e11058e70e5c0f63e0a9511121fb470,0.147871139,0.703339768,0.416346722,0.346129819,0.80749111,0.399560616,0.057264462,0.151830473,0.009983536,0.666814628,0.040372751,0.872302652,1.917215445,0.558015042,1.34484291,1.874851201,0.259737845,1.404864346,2.185859702,1.52160072,0.819969763,0.000583509,0.022583812,0.938259025,0.000222243,0.108629085,0.953158367
15,2569c33dee3b329a0e90685229a61bb6,0.143358506,0.702654246,0.438471385,0.213708809,0.596741712,0.37081006,0.066886084,0.165927373,0.007328713,0.648592331,0.040845902,0.486142862,2.349958582,0.565448522,1.359302156,1.873052292,0.250916253,1.488379201,2.241064871,1.350668623,0.832431877,0.000648762,0.018281391,0.837497359,0.000347139,0.101779797,0.844771424
15,c00d757929a750d6e6ec44d3fb707882,0.145319587,0.631326153,0.420605821,0.212243532,0.592408289,0.408961743,0.070541435,0.157167825,0.00780708,0.664860307,0.041682383,0.420848843,2.396223313,0.593662645,1.352688602,1.860456737,0.24629374,1.420428811,2.272456063,1.431838675,0.834544683,0.000679824,0.015285386,0.84866261,0.000311979,0.099735763,0.909348517
15,4f9e17e8a352748275c86adf8ae469ed,0.138220493,0.658390948,0.404962565,0.263060057,0.624410287,0.364441466,0.070056779,0.141023835,0.007644721,0.531630367,0.045333592,0.312909853,2.421635469,0.307180701,1.340773809,1.849868748,0.248117536,1.623869691,2.240424452,1.120760355,0.820301345,0.000678734,0.012715618,0.86398603,0.000497911,0.102788449,1.008543596
15,392c4a25002a1acf520cc245cc3db476,0.14415446,0.635285926,0.274744687,0.3381829,0.678884771,0.42280646,0.063957265,0.131025405,0.009399492,0.875317334,0.040268383,0.606393223,2.476054064,0.511515752,1.347953032,1.865480758,0.239041803,1.347468128,2.306290226,1.618936959,0.838014828,0.000651511,0.016068589,0.946663809,0.000310658,0.103794427,0.980750272
