Year,AgeGrp,Scenario,Indicator,medval,lowval,highval,combined
2015,"[0,99]",Energy Price Shock,TB incidence rate,199.2788155,184.7789827,213.9134745,"199.3 (184.8, 213.9)"
2015,"[0,99]",Export and Energy Shocks,TB incidence rate,199.2788155,184.7789827,213.9134745,"199.3 (184.8, 213.9)"
2015,"[0,99]",Export Restriction Shock,TB incidence rate,199.2788155,184.7789827,213.9134745,"199.3 (184.8, 213.9)"
2015,"[0,99]",No Shocks,TB incidence rate,199.2788155,184.7789827,213.9134745,"199.3 (184.8, 213.9)"
2016,"[0,99]",Energy Price Shock,TB incidence rate,195.5978467,181.113608,210.2041118,"195.6 (181.1, 210.2)"
2016,"[0,99]",Export and Energy Shocks,TB incidence rate,195.5978467,181.113608,210.2041118,"195.6 (181.1, 210.2)"
2016,"[0,99]",Export Restriction Shock,TB incidence rate,195.5978467,181.113608,210.2041118,"195.6 (181.1, 210.2)"
2016,"[0,99]",No Shocks,TB incidence rate,195.5978467,181.113608,210.2041118,"195.6 (181.1, 210.2)"
2017,"[0,99]",Energy Price Shock,TB incidence rate,191.7912894,177.3860591,206.3706935,"191.8 (177.4, 206.4)"
2017,"[0,99]",Export and Energy Shocks,TB incidence rate,191.7912894,177.3860591,206.3706935,"191.8 (177.4, 206.4)"
2017,"[0,99]",Export Restriction Shock,TB incidence rate,191.7912894,177.3860591,206.3706935,"191.8 (177.4, 206.4)"
2017,"[0,99]",No Shocks,TB incidence rate,191.7912894,177.3860591,206.3706935,"191.8 (177.4, 206.4)"
2018,"[0,99]",Energy Price Shock,TB incidence rate,187.5454003,173.3383526,202.1012579,"187.5 (173.3, 202.1)"
2018,"[0,99]",Export and Energy Shocks,TB incidence rate,187.5454003,173.3383526,202.1012579,"187.5 (173.3, 202.1)"
2018,"[0,99]",Export Restriction Shock,TB incidence rate,187.5454003,173.3383526,202.1012579,"187.5 (173.3, 202.1)"
2018,"[0,99]",No Shocks,TB incidence rate,187.5454003,173.3383526,202.1012579,"187.5 (173.3, 202.1)"
2019,"[0,99]",Energy Price Shock,TB incidence rate,183.3737374,169.2412828,198.0430869,"183.4 (169.2, 198)"
2019,"[0,99]",Export and Energy Shocks,TB incidence rate,183.3737374,169.2412828,198.0430869,"183.4 (169.2, 198)"
2019,"[0,99]",Export Restriction Shock,TB incidence rate,183.3737374,169.2412828,198.0430869,"183.4 (169.2, 198)"
2019,"[0,99]",No Shocks,TB incidence rate,183.3737374,169.2412828,198.0430869,"183.4 (169.2, 198)"
2020,"[0,99]",Energy Price Shock,TB incidence rate,179.6583194,165.5595002,194.0314654,"179.7 (165.6, 194)"
2020,"[0,99]",Export and Energy Shocks,TB incidence rate,179.6583194,165.5595002,194.0314654,"179.7 (165.6, 194)"
2020,"[0,99]",Export Restriction Shock,TB incidence rate,179.6583194,165.5595002,194.0314654,"179.7 (165.6, 194)"
2020,"[0,99]",No Shocks,TB incidence rate,179.6583194,165.5595002,194.0314654,"179.7 (165.6, 194)"
2021,"[0,99]",Energy Price Shock,TB incidence rate,175.2630808,161.1341623,189.4465249,"175.3 (161.1, 189.4)"
2021,"[0,99]",Export and Energy Shocks,TB incidence rate,175.2630808,161.1341623,189.4465249,"175.3 (161.1, 189.4)"
2021,"[0,99]",Export Restriction Shock,TB incidence rate,175.2630808,161.1341623,189.4465249,"175.3 (161.1, 189.4)"
2021,"[0,99]",No Shocks,TB incidence rate,175.2630808,161.1341623,189.4465249,"175.3 (161.1, 189.4)"
2022,"[0,99]",Energy Price Shock,TB incidence rate,174.7115726,159.8396636,189.9470217,"174.7 (159.8, 189.9)"
2022,"[0,99]",Export and Energy Shocks,TB incidence rate,174.749485,159.969923,190.1225515,"174.7 (160, 190.1)"
2022,"[0,99]",Export Restriction Shock,TB incidence rate,172.2018006,157.5964211,186.8811835,"172.2 (157.6, 186.9)"
2022,"[0,99]",No Shocks,TB incidence rate,172.0130394,157.5632504,186.7816988,"172 (157.6, 186.8)"
2023,"[0,99]",Energy Price Shock,TB incidence rate,171.5844301,156.3617,187.2208052,"171.6 (156.4, 187.2)"
2023,"[0,99]",Export and Energy Shocks,TB incidence rate,171.8926524,156.5801931,187.6727979,"171.9 (156.6, 187.7)"
2023,"[0,99]",Export Restriction Shock,TB incidence rate,168.4574416,153.7207337,183.4927908,"168.5 (153.7, 183.5)"
2023,"[0,99]",No Shocks,TB incidence rate,168.3620394,153.6876796,183.3757301,"168.4 (153.7, 183.4)"
2024,"[0,99]",Energy Price Shock,TB incidence rate,168.0983806,153.0844502,183.8097346,"168.1 (153.1, 183.8)"
2024,"[0,99]",Export and Energy Shocks,TB incidence rate,168.4824512,153.3850539,184.0401964,"168.5 (153.4, 184)"
2024,"[0,99]",Export Restriction Shock,TB incidence rate,164.5759514,149.7536439,179.6298373,"164.6 (149.8, 179.6)"
2024,"[0,99]",No Shocks,TB incidence rate,164.4868144,149.6807072,179.6090271,"164.5 (149.7, 179.6)"
2025,"[0,99]",Energy Price Shock,TB incidence rate,164.9995184,149.788893,180.9424207,"165 (149.8, 180.9)"
2025,"[0,99]",Export and Energy Shocks,TB incidence rate,165.3005045,150.1211804,181.1753175,"165.3 (150.1, 181.2)"
2025,"[0,99]",Export Restriction Shock,TB incidence rate,160.9527677,146.1174228,176.1860571,"161 (146.1, 176.2)"
2025,"[0,99]",No Shocks,TB incidence rate,160.8372917,145.9626346,176.0769714,"160.8 (146, 176.1)"
2026,"[0,99]",Energy Price Shock,TB incidence rate,161.6326188,146.359083,177.4485888,"161.6 (146.4, 177.4)"
2026,"[0,99]",Export and Energy Shocks,TB incidence rate,161.8892868,146.5713254,177.9221726,"161.9 (146.6, 177.9)"
2026,"[0,99]",Export Restriction Shock,TB incidence rate,157.2742633,142.4112742,172.76667,"157.3 (142.4, 172.8)"
2026,"[0,99]",No Shocks,TB incidence rate,157.0929124,142.1621174,172.4587317,"157.1 (142.2, 172.5)"
2027,"[0,99]",Energy Price Shock,TB incidence rate,158.4797903,143.3413527,174.2676912,"158.5 (143.3, 174.3)"
2027,"[0,99]",Export and Energy Shocks,TB incidence rate,158.7423308,143.5042805,174.6960733,"158.7 (143.5, 174.7)"
2027,"[0,99]",Export Restriction Shock,TB incidence rate,153.9556238,139.1967112,169.4705267,"154 (139.2, 169.5)"
2027,"[0,99]",No Shocks,TB incidence rate,153.6963268,139.1845788,169.3264508,"153.7 (139.2, 169.3)"
2028,"[0,99]",Energy Price Shock,TB incidence rate,155.6853634,140.689557,171.2508671,"155.7 (140.7, 171.3)"
2028,"[0,99]",Export and Energy Shocks,TB incidence rate,155.9567765,140.7091956,171.7204425,"156 (140.7, 171.7)"
2028,"[0,99]",Export Restriction Shock,TB incidence rate,150.9269105,136.2482869,166.3277372,"150.9 (136.2, 166.3)"
2028,"[0,99]",No Shocks,TB incidence rate,150.7395737,136.1657522,166.2777234,"150.7 (136.2, 166.3)"
2029,"[0,99]",Energy Price Shock,TB incidence rate,152.9773354,138.0573741,168.5923721,"153 (138.1, 168.6)"
2029,"[0,99]",Export and Energy Shocks,TB incidence rate,153.3977319,138.2807514,168.9871825,"153.4 (138.3, 169)"
2029,"[0,99]",Export Restriction Shock,TB incidence rate,148.1651511,133.5102628,163.5093443,"148.2 (133.5, 163.5)"
2029,"[0,99]",No Shocks,TB incidence rate,148.0111241,133.3500308,163.4211655,"148 (133.4, 163.4)"
2030,"[0,99]",Energy Price Shock,TB incidence rate,150.4998239,135.4996838,166.1341888,"150.5 (135.5, 166.1)"
2030,"[0,99]",Export and Energy Shocks,TB incidence rate,150.9305396,135.8455918,166.4291383,"150.9 (135.8, 166.4)"
2030,"[0,99]",Export Restriction Shock,TB incidence rate,145.5224069,130.995069,160.7395626,"145.5 (131, 160.7)"
2030,"[0,99]",No Shocks,TB incidence rate,145.4000036,130.8307342,160.7225797,"145.4 (130.8, 160.7)"
2031,"[0,99]",Energy Price Shock,TB incidence rate,148.3251729,133.2212767,163.9745813,"148.3 (133.2, 164)"
2031,"[0,99]",Export and Energy Shocks,TB incidence rate,148.6993418,133.5910128,164.2496489,"148.7 (133.6, 164.2)"
2031,"[0,99]",Export Restriction Shock,TB incidence rate,142.9095354,128.5395202,158.0571617,"142.9 (128.5, 158.1)"
2031,"[0,99]",No Shocks,TB incidence rate,142.7306903,128.3069048,157.9872853,"142.7 (128.3, 158)"
2032,"[0,99]",Energy Price Shock,TB incidence rate,146.1715579,131.1406359,161.7896799,"146.2 (131.1, 161.8)"
2032,"[0,99]",Export and Energy Shocks,TB incidence rate,146.5188465,131.3023372,162.0931977,"146.5 (131.3, 162.1)"
2032,"[0,99]",Export Restriction Shock,TB incidence rate,140.4733324,126.0985013,155.4804882,"140.5 (126.1, 155.5)"
